srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,type
17133205153,19112023087,48956,30044,TCP,4,10,6,1213,backgorund
19112023087,17133205153,30044,48956,TCP,4,5,4,2752,backgorund
2137322258,254649182,28367,445,TCP,4,60,59,15826,backgorund
140853232,3618116222,445,44028,TCP,4,60,2,338,backgorund
1871213134,131604381,8792,39703,TCP,4,9,3,152,backgorund
1871213134,229681356,34307,39703,TCP,4,9,3,152,backgorund
1871213134,922137236,19375,39703,TCP,4,9,3,152,backgorund
1871213134,18710471160,56267,39703,TCP,4,9,3,152,backgorund
1871213134,1312009446,45314,39703,TCP,4,9,3,152,backgorund
1871213134,642131126,46652,39703,TCP,4,9,3,152,backgorund
1871213134,916118716,14773,39703,TCP,4,9,3,152,backgorund
1871213134,23017113214,36026,39703,TCP,4,9,3,152,backgorund
170388087,1111532225,111,10620,UDP,5,0,1,56,backgorund
2396241208,209177119145,15907,57008,TCP,5,0,5,272,backgorund
74241105161,696195222,30044,36897,TCP,5,0,1,46,backgorund
60123145167,144098220,48001,38755,TCP,5,0,6,364,backgorund
60123145167,144098220,33303,38755,TCP,5,0,6,428,backgorund
60123145167,144098220,44391,111,TCP,5,0,6,380,backgorund
20114123111,247236253136,50003,32466,TCP,5,0,1,48,backgorund
20114123111,247236253136,53114,32466,TCP,5,0,1,48,backgorund
209177119145,2396241208,57008,15907,TCP,5,0,3,168,backgorund
58997235,20962204241,34465,88,UDP,5,0,1,1386,backgorund
58997235,20962204241,40601,88,UDP,5,0,1,1400,backgorund
58997235,139889197,60719,389,UDP,5,0,1,236,backgorund
58997235,20962204241,55893,88,UDP,5,0,1,1416,backgorund
58997235,20962204241,46532,88,UDP,5,0,1,1400,backgorund
20962204241,11220821640,389,57114,UDP,5,0,1,191,backgorund
20962204241,11220821640,389,18544,UDP,5,0,1,117,backgorund
20962204241,58997235,88,34465,UDP,5,0,1,1346,backgorund
20962204241,58997235,88,40601,UDP,5,0,1,1374,backgorund
20962204241,58997235,88,55893,UDP,5,0,1,1404,backgorund
20962204241,58997235,88,46532,UDP,5,0,1,1374,backgorund
11220821640,20962204241,57114,389,UDP,5,0,1,108,backgorund
11220821640,20962204241,18544,389,UDP,5,0,1,80,backgorund
144098220,60123145167,111,44391,TCP,5,0,4,252,backgorund
144098220,60123145167,38755,48001,TCP,5,0,4,248,backgorund
144098220,60123145167,38755,33303,TCP,5,0,4,248,backgorund
1111532225,170388087,10620,111,UDP,5,0,1,84,backgorund
139889197,58997235,389,60719,UDP,5,0,1,193,backgorund
254104113,254649182,41443,22,TCP,5,1,20,3324,backgorund
8417887166,817845203,45425,49979,TCP,5,1,3,138,backgorund
254649182,254104113,22,41443,TCP,5,1,23,9726,backgorund
696195222,74241105161,47672,30044,TCP,5,11,10,3821,backgorund
11911312110,20962204241,45849,445,TCP,5,12,13,4217,backgorund
20962204241,11911312110,445,45849,TCP,5,12,9,1653,backgorund
58997235,46100254245,57705,445,TCP,5,13,5756,614529,backgorund
46100254245,58997235,445,57705,TCP,5,13,5765,662136,backgorund
58997235,139889197,9868,135,TCP,5,16,8,859,backgorund
58997235,139889197,2140,33137,TCP,5,16,7,871,backgorund
139889197,58997235,135,9868,TCP,5,16,6,800,backgorund
139889197,58997235,33137,2140,TCP,5,16,5,436,backgorund
58997235,46100254245,65336,64535,ICMP,5,22,4,240,backgorund
46100254245,58997235,64535,64535,ICMP,5,22,4,240,backgorund
246173200159,254649182,2432,445,TCP,5,34,4,278,backgorund
254649182,246173200159,445,2432,TCP,5,34,2,186,backgorund
53134118169,163106150146,5728,53068,TCP,5,51,11,1275,backgorund
163106150146,53134118169,53068,5728,TCP,5,51,9,1572,backgorund
74241105161,696195222,30044,47672,TCP,5,6,6,547,backgorund
2818893178,85156233242,389,37155,TCP,6,0,6,620,backgorund
1345968156,2351692222,137,137,UDP,6,0,1,78,backgorund
1345968156,5118124233,137,137,UDP,6,0,1,78,backgorund
21310217983,4724324057,31269,389,UDP,6,0,1,193,backgorund
60123145167,144098220,60959,111,TCP,6,0,6,380,backgorund
60123145167,144098220,16468,2049,TCP,6,0,6,364,backgorund
60123145167,144098220,63573,111,UDP,6,0,1,84,backgorund
60123145167,144098220,24486,31341,UDP,6,0,1,68,backgorund
60123145167,144098220,45257,31341,UDP,6,0,1,132,backgorund
60123145167,144098220,54075,2049,TCP,6,0,12,1476,backgorund
59181186160,23422523976,45432,80,TCP,6,0,1,46,backgorund
85156233242,2818893178,37155,389,TCP,6,0,7,1875,backgorund
85156233242,2322618280,13431,65359,TCP,6,0,7,1875,backgorund
16414720387,8411891130,60745,445,TCP,6,0,1,52,backgorund
8411891130,16414720387,445,60745,TCP,6,0,1,46,backgorund
2351692222,1345968156,137,137,UDP,6,0,1,84,backgorund
4917166129,2497772133,42716,80,TCP,6,0,6,874,backgorund
5118124233,1345968156,137,137,UDP,6,0,1,84,backgorund
4724324057,21310217983,389,31269,UDP,6,0,1,195,backgorund
177268795,214176198121,10350,63853,TCP,6,0,4,654,backgorund
144098220,60123145167,111,60959,TCP,6,0,4,252,backgorund
144098220,60123145167,111,63573,UDP,6,0,1,56,backgorund
144098220,60123145167,2049,16468,TCP,6,0,4,248,backgorund
144098220,60123145167,2049,54075,TCP,6,0,9,1484,backgorund
144098220,60123145167,31341,24486,UDP,6,0,1,52,backgorund
144098220,60123145167,31341,45257,UDP,6,0,1,100,backgorund
2322618280,85156233242,65359,13431,TCP,6,0,5,574,backgorund
2497772133,4917166129,80,42716,TCP,6,0,4,4387,backgorund
21310217983,4724324057,26454,135,TCP,6,15,7,644,backgorund
4724324057,21310217983,135,26454,TCP,6,15,5,504,backgorund
4917166129,2497772133,14386,80,TCP,6,2,7,882,backgorund
2497772133,4917166129,80,14386,TCP,6,2,4,4387,backgorund
4917166129,23422523976,35240,80,TCP,6,3,8,1146,backgorund
23422523976,4917166129,80,35240,TCP,6,3,5,4633,backgorund
21310217983,4724324057,31037,4807,TCP,6,35,12,3696,backgorund
4724324057,21310217983,4807,31037,TCP,6,35,10,1780,backgorund
44541614,80230162117,52103,12133,TCP,6,37,2,92,backgorund
254104113,254649182,25975,22,TCP,6,6,20,3356,backgorund
254649182,254104113,22,25975,TCP,6,6,18,2442,backgorund
1071228155,2322618280,43052,389,UDP,7,0,1,193,backgorund
181437477,4917166129,80,47821,TCP,7,0,5,4633,backgorund
4917166129,181437477,47821,80,TCP,7,0,7,1100,backgorund
2322618280,1071228155,389,43052,UDP,7,0,1,193,backgorund
692142228,19112023087,40750,30044,TCP,7,11,6,1223,backgorund
181437477,4917166129,80,9697,TCP,7,2,4,4387,backgorund
4917166129,181437477,9697,80,TCP,7,2,7,882,backgorund
42107162157,163106150146,46793,135,TCP,7,30,7,540,backgorund
42107162157,163106150146,44463,53068,TCP,7,30,7,631,backgorund
156170238139,163106150146,55482,53068,TCP,7,30,7,639,backgorund
156170238139,163106150146,5022,135,TCP,7,30,7,540,backgorund
163106150146,42107162157,135,46793,TCP,7,30,5,520,backgorund
163106150146,156170238139,135,5022,TCP,7,30,5,520,backgorund
163106150146,42107162157,53068,44463,TCP,7,30,6,772,backgorund
163106150146,156170238139,53068,55482,TCP,7,30,5,516,backgorund
818743105,2351692222,137,137,UDP,7,52,8,624,backgorund
818743105,5118124233,137,137,UDP,7,52,8,624,backgorund
2351692222,818743105,137,137,UDP,7,52,8,672,backgorund
5118124233,818743105,137,137,UDP,7,52,8,672,backgorund
651894814,1121618675,2049,61984,TCP,7,59,49,6466,backgorund
1121618675,651894814,61984,2049,TCP,7,59,58,8992,backgorund
19112023087,692142228,30044,40750,TCP,7,6,4,2753,backgorund
15713618189,257717450,13271,28203,TCP,7,9,3,144,backgorund
25511420241,226156215203,18125,445,TCP,8,0,1,52,backgorund
1071228155,1759721391,31663,389,UDP,8,0,1,192,backgorund
1071228155,4724324057,58628,389,UDP,8,0,1,192,backgorund
19112023087,24621415541,30044,6218,TCP,8,0,5,424,backgorund
74241105161,24621415541,30044,52293,TCP,8,0,4,376,backgorund
24621415541,19112023087,6218,30044,TCP,8,0,6,430,backgorund
24621415541,74241105161,52293,30044,TCP,8,0,6,430,backgorund
1925021148,2322618280,65336,64535,ICMP,8,0,2,120,backgorund
226156215203,25511420241,445,18125,TCP,8,0,1,46,backgorund
2147314116,23422523976,9054,80,TCP,8,0,7,2995,backgorund
4724324057,1071228155,389,58628,UDP,8,0,1,195,backgorund
4724324057,204230697,389,49319,UDP,8,0,1,195,backgorund
4724324057,204230697,88,36052,UDP,8,0,1,1402,backgorund
4724324057,204230697,88,45230,UDP,8,0,1,1372,backgorund
1759721391,1071228155,389,31663,UDP,8,0,1,193,backgorund
1759721391,2449312563,445,1707,TCP,8,0,7,1429,backgorund
2322618280,1925021148,64535,64535,ICMP,8,0,2,120,backgorund
23422523976,2147314116,80,9054,TCP,8,0,4,511,backgorund
2449312563,1759721391,1707,445,TCP,8,1,10,3963,backgorund
8417887166,191145209120,45425,45169,TCP,8,1,3,138,backgorund
1071228155,2322618280,61157,135,TCP,8,12,7,644,backgorund
1925021148,2322618280,60046,445,TCP,8,12,17,4419,backgorund
2322618280,1071228155,135,61157,TCP,8,12,5,504,backgorund
2322618280,1925021148,445,60046,TCP,8,12,14,2372,backgorund
2322618280,1925021148,445,60046,TCP,8,12,15,2418,backgorund
8417887166,191145209120,135,32769,TCP,8,14,6,716,backgorund
161117101185,23422523976,34635,80,TCP,8,29,13,6628,backgorund
23422523976,161117101185,80,34635,TCP,8,29,10,4602,backgorund
2322618280,1071228155,4807,1934,TCP,8,31,9,1552,backgorund
1071228155,2322618280,1934,4807,TCP,8,32,11,3123,backgorund
1071228155,2322618280,9860,389,TCP,8,6,20,5926,backgorund
2322618280,1071228155,389,9860,TCP,8,6,23,24670,backgorund
2322618280,1071228155,389,9860,TCP,8,6,25,27368,backgorund
17612227148,1759721391,25178,445,TCP,9,0,1,52,backgorund
20368314,2421259134,19784,443,TCP,9,0,6,1647,backgorund
1071228155,4724324057,61197,88,TCP,9,0,5,2670,backgorund
1071228155,4724324057,55687,88,TCP,9,0,6,1664,backgorund
19112023087,24621415541,30044,64116,TCP,9,0,5,2694,backgorund
24621415541,19112023087,64116,30044,TCP,9,0,7,1272,backgorund
2421259134,20368314,443,19784,TCP,9,0,5,1493,backgorund
4724324057,1071228155,88,61197,TCP,9,0,5,360,backgorund
4724324057,1071228155,88,55687,TCP,9,0,6,1674,backgorund
1759721391,17612227148,445,25178,TCP,9,0,1,46,backgorund
8417887166,191145209120,45425,13405,TCP,9,1,3,138,backgorund
23422523976,25324846116,80,23031,TCP,9,1,4,515,backgorund
114253122102,19112023087,48339,30044,TCP,9,10,6,1223,backgorund
22515175216,74241105161,4698,30044,TCP,9,11,9,2741,backgorund
941056196,21051866,31669,42887,TCP,9,11,19,2789,backgorund
21051866,941056196,42887,31669,TCP,9,11,11,1496,backgorund
4917166129,23422523976,24154,80,TCP,9,2,7,882,backgorund
4917166129,2497772133,39984,80,TCP,9,2,7,920,backgorund
23422523976,4917166129,80,24154,TCP,9,2,4,4387,backgorund
2497772133,4917166129,80,39984,TCP,9,2,4,4387,backgorund
1071228155,1759721391,21192,389,TCP,9,3,11,2877,backgorund
1759721391,1071228155,389,21192,TCP,9,3,9,3220,backgorund
1071228155,2322618280,39995,445,TCP,9,44,136,28268,backgorund
2322618280,1071228155,445,39995,TCP,9,44,132,73554,backgorund
2322618280,1071228155,445,39995,TCP,9,44,139,80399,backgorund
19112023087,114253122102,30044,48339,TCP,9,5,4,2752,backgorund
74241105161,22515175216,30044,4698,TCP,9,6,6,2979,backgorund
177268795,214176198121,23299,63853,TCP,9,60,4,392,backgorund
25324846116,23422523976,23031,80,TCP,9,61,8,3044,backgorund
1071228155,4724324057,47791,389,TCP,10,0,14,3747,backgorund
4724324057,1071228155,389,47791,TCP,10,0,13,7034,backgorund
181437477,4917166129,80,57503,TCP,10,1,4,4387,backgorund
4917166129,181437477,57503,80,TCP,10,1,7,920,backgorund
1516164235,163106150146,36133,445,TCP,10,14,13,4266,backgorund
163106150146,1516164235,445,36133,TCP,10,14,9,1654,backgorund
1341892415,23422523976,16794,80,TCP,10,5,14,7786,backgorund
23422523976,1341892415,80,16794,TCP,10,5,10,4587,backgorund
3618116222,1111532225,2348,2049,TCP,10,60,12,1584,backgorund
17163107140,254649182,11263,445,TCP,10,60,8,728,backgorund
254649182,17163107140,445,11263,TCP,10,60,4,584,backgorund
1111532225,3618116222,2049,2348,TCP,10,60,6,1152,backgorund
1071228155,1759721391,65520,389,TCP,11,0,12,3558,backgorund
19112023087,24621415541,30044,1654,TCP,11,0,4,445,backgorund
24621415541,19112023087,1654,30044,TCP,11,0,6,932,backgorund
4917166129,2497772133,14739,80,TCP,11,0,6,836,backgorund
1759721391,1071228155,389,65520,TCP,11,0,10,4035,backgorund
1759721391,1071228155,389,65520,TCP,11,0,11,4287,backgorund
23422523976,17867156118,80,19959,TCP,11,0,4,515,backgorund
2497772133,4917166129,80,14739,TCP,11,0,4,4387,backgorund
1071228155,1759721391,64427,389,TCP,11,1,10,3121,backgorund
181437477,4917166129,80,48965,TCP,11,1,4,4387,backgorund
4917166129,181437477,48965,80,TCP,11,1,7,882,backgorund
1759721391,1071228155,389,64427,TCP,11,1,9,1901,backgorund
173020040,74241105161,49515,30044,TCP,11,10,6,1209,backgorund
4917166129,2497772133,29256,80,TCP,11,2,7,920,backgorund
4917166129,23422523976,49381,80,TCP,11,2,7,920,backgorund
23422523976,4917166129,80,49381,TCP,11,2,4,4387,backgorund
2497772133,4917166129,80,29256,TCP,11,2,4,4387,backgorund
161199203226,19112023087,24508,30044,TCP,11,23,23082,1062269,backgorund
19112023087,161199203226,30044,24508,TCP,11,23,43461,60405062,backgorund
19112023087,161199203226,30044,24508,TCP,11,23,43542,60517652,backgorund
74241105161,173020040,30044,49515,TCP,11,5,4,2751,backgorund
17867156118,23422523976,19959,80,TCP,11,60,8,3005,backgorund
649135217,1352597,62797,62797,UDP,11,60,3,282,backgorund
1471788229,23422523976,52352,80,TCP,12,0,7,2950,backgorund
23422523976,1471788229,80,52352,TCP,12,0,4,511,backgorund
181437477,4917166129,80,42547,TCP,12,1,4,4387,backgorund
4917166129,181437477,42547,80,TCP,12,1,7,920,backgorund
127195160189,74241105161,4126,30044,TCP,12,10,6,1255,backgorund
254104113,254649182,28844,22,TCP,12,50,16,3092,backgorund
254649182,254104113,22,28844,TCP,12,50,15,2246,backgorund
74241105161,127195160189,30044,4126,TCP,12,6,4,2755,backgorund
8085147178,649135217,62797,62797,UDP,12,60,3,282,backgorund
649135217,8085147178,62797,62797,UDP,12,60,3,282,backgorund
649135217,2721255249,62797,62797,UDP,12,60,3,282,backgorund
4917166129,2497772133,63631,80,TCP,13,0,6,836,backgorund
4917166129,23422523976,47101,80,TCP,13,0,4,362,backgorund
23422523976,4917166129,80,47101,TCP,13,0,2,1497,backgorund
2497772133,4917166129,80,63631,TCP,13,0,4,4387,backgorund
181437477,4917166129,80,48677,TCP,13,1,4,4387,backgorund
4917166129,181437477,48677,80,TCP,13,1,7,882,backgorund
44541614,233913464,52103,16938,TCP,13,38,2,92,backgorund
5916811095,12082182248,445,2929,TCP,14,0,1,46,backgorund
1751921618,163106150146,27465,389,UDP,14,0,1,236,backgorund
1751921618,2322618280,7156,88,UDP,14,0,1,1396,backgorund
163106150146,1751921618,389,27465,UDP,14,0,1,193,backgorund
12082182248,5916811095,2929,445,TCP,14,0,1,52,backgorund
2322618280,1751921618,88,7156,UDP,14,0,1,1391,backgorund
198816024,254649182,64709,137,UDP,14,0,1,78,backgorund
43196121230,19112023087,17940,30044,TCP,14,10,6,1223,backgorund
2818893178,3411317383,445,32132,TCP,14,13,9,1653,backgorund
1071228155,1759721391,58404,135,TCP,14,13,8,1300,backgorund
1071228155,1759721391,31339,53068,TCP,14,13,7,795,backgorund
1759721391,1071228155,135,58404,TCP,14,13,6,788,backgorund
1759721391,1071228155,53068,31339,TCP,14,13,5,664,backgorund
3411317383,2818893178,32132,445,TCP,14,13,13,4233,backgorund
44541614,2824418390,52103,51179,TCP,14,38,2,92,backgorund
19112023087,43196121230,30044,17940,TCP,14,6,4,2752,backgorund
52171285,3888192233,1433,13516,TCP,14,60,5,248,backgorund
2818893178,13814022266,64535,64535,ICMP,15,0,2,120,backgorund
181437477,4917166129,80,9745,TCP,15,0,3,2942,backgorund
103131119166,9115214348,57757,32466,TCP,15,0,1,48,backgorund
1751921618,2322618280,12117,88,UDP,15,0,1,1396,backgorund
1751921618,2322618280,51521,88,UDP,15,0,1,1396,backgorund
1751921618,163106150146,65336,64535,ICMP,15,0,2,120,backgorund
1751921618,163106150146,1734,389,TCP,15,0,11,3153,backgorund
1751921618,163106150146,7461,389,TCP,15,0,9,2716,backgorund
1751921618,163106150146,6176,389,TCP,15,0,9,2716,backgorund
1751921618,163106150146,20579,389,TCP,15,0,9,2716,backgorund
13814022266,2322618280,40330,389,UDP,15,0,1,193,backgorund
13814022266,2322618280,8313,88,UDP,15,0,1,1409,backgorund
13814022266,2322618280,7954,88,UDP,15,0,1,1406,backgorund
13814022266,2818893178,65336,64535,ICMP,15,0,2,120,backgorund
4917166129,2497772133,24528,80,TCP,15,0,5,618,backgorund
163106150146,1751921618,389,1734,TCP,15,0,10,4175,backgorund
163106150146,1751921618,389,7461,TCP,15,0,8,1789,backgorund
163106150146,1751921618,389,6176,TCP,15,0,8,1779,backgorund
163106150146,1751921618,389,20579,TCP,15,0,7,1733,backgorund
163106150146,1751921618,64535,64535,ICMP,15,0,2,120,backgorund
2322618280,13814022266,389,40330,UDP,15,0,1,193,backgorund
2322618280,1751921618,88,12117,UDP,15,0,1,1391,backgorund
2322618280,1751921618,88,51521,UDP,15,0,1,1391,backgorund
2322618280,13814022266,88,8313,UDP,15,0,1,1382,backgorund
2497772133,4917166129,80,24528,TCP,15,0,3,2942,backgorund
199154809,23422523976,63045,80,TCP,15,1,7,2972,backgorund
254104113,144098220,27874,443,TCP,15,1,12,1382,backgorund
144098220,254104113,443,27874,TCP,15,1,10,1665,backgorund
23422523976,199154809,80,63045,TCP,15,1,4,511,backgorund
1751921618,163106150146,25000,135,TCP,15,10,8,859,backgorund
1751921618,163106150146,49782,53068,TCP,15,10,7,871,backgorund
163106150146,1751921618,135,25000,TCP,15,10,6,800,backgorund
163106150146,1751921618,53068,49782,TCP,15,10,5,436,backgorund
1751921618,163106150146,50162,445,TCP,15,11,264,42020,backgorund
163106150146,1751921618,445,50162,TCP,15,11,270,65900,backgorund
2818893178,2241832629,445,4865,TCP,15,12,9,1653,backgorund
2241832629,2818893178,4865,445,TCP,15,12,13,4233,backgorund
2818893178,13814022266,445,42878,TCP,15,2,11,1476,backgorund
13814022266,2818893178,42878,445,TCP,15,2,12,3821,backgorund
60123145167,2321978225,47814,49295,UDP,15,60,4,336,backgorund
2321978225,60123145167,49295,47814,UDP,15,60,4,224,backgorund
4917166129,181437477,9745,80,TCP,15,60,6,664,backgorund
254104113,144098220,31413,443,TCP,16,0,12,1383,backgorund
13814022266,2322618280,38284,88,UDP,16,0,1,1410,backgorund
13814022266,46100254245,65336,64535,ICMP,16,0,2,120,backgorund
184276299,23422523976,34962,80,TCP,16,0,1,46,backgorund
144098220,254104113,443,31413,TCP,16,0,10,1791,backgorund
2322618280,13814022266,88,7954,UDP,16,0,1,1401,backgorund
2322618280,13814022266,88,38284,UDP,16,0,1,1384,backgorund
46100254245,13814022266,64535,64535,ICMP,16,0,2,120,backgorund
13814022266,46100254245,51683,445,TCP,16,1,15,4133,backgorund
46100254245,13814022266,445,51683,TCP,16,1,13,2073,backgorund
104251179135,74241105161,64497,30044,TCP,16,10,12,7074,backgorund
5015162216,74241105161,38325,30044,TCP,16,10,6,1155,backgorund
186649842,74241105161,42861,30044,TCP,16,11,9,3005,backgorund
1787154247,74241105161,52980,30044,TCP,16,11,10,3782,backgorund
4724324057,23321119244,445,47296,TCP,16,2,3,270,backgorund
1751921618,163106150146,51752,53068,TCP,16,29,7,631,backgorund
1751921618,163106150146,48622,135,TCP,16,29,7,540,backgorund
163106150146,1751921618,135,48622,TCP,16,29,5,520,backgorund
163106150146,1751921618,53068,51752,TCP,16,29,5,548,backgorund
44541614,157932427,52103,29240,TCP,16,38,2,92,backgorund
74241105161,5015162216,30044,38325,TCP,16,5,4,2576,backgorund
74241105161,104251179135,30044,64497,TCP,16,6,7,3026,backgorund
74241105161,186649842,30044,42861,TCP,16,6,6,2975,backgorund
74241105161,1787154247,30044,52980,TCP,16,6,6,2976,backgorund
74241105161,19012020062,30044,55694,TCP,17,0,4,413,backgorund
74241105161,19012020062,30044,43354,TCP,17,0,4,414,backgorund
13218793228,166214682,15805,445,TCP,17,0,1,52,backgorund
166214682,13218793228,445,15805,TCP,17,0,1,46,backgorund
4026160213,139889197,65336,64535,ICMP,17,0,2,120,backgorund
352288671,163106150146,6670,445,TCP,17,0,1,46,backgorund
163106150146,352288671,445,6670,TCP,17,0,1,46,backgorund
139889197,4026160213,64535,64535,ICMP,17,0,2,120,backgorund
19012020062,74241105161,55694,30044,TCP,17,0,5,847,backgorund
19012020062,74241105161,43354,30044,TCP,17,0,4,801,backgorund
198816024,254649182,35763,137,UDP,17,0,1,78,backgorund
765172129,254649182,18040,445,TCP,17,1,2,178,backgorund
4026160213,139889197,35201,445,TCP,17,12,17,4347,backgorund
139889197,4026160213,445,35201,TCP,17,12,15,2418,backgorund
235252124125,74241105161,58869,30044,TCP,17,15,6,1213,backgorund
74241105161,235252124125,30044,58869,TCP,17,5,4,2755,backgorund
8417887166,193228117,445,13674,TCP,17,62,259,27250,backgorund
2485769146,19112023087,54414,30044,TCP,18,10,6,1222,backgorund
18711134206,2351692222,137,137,UDP,18,11,9,756,backgorund
2757208233,10114179151,44654,445,TCP,18,14,13,4220,backgorund
19112023087,2485769146,30044,54414,TCP,18,5,4,2752,backgorund
6116689237,1148227125,12846,445,TCP,19,0,1,52,backgorund
916118716,23422523976,18513,80,TCP,19,0,1,46,backgorund
8417887166,193228117,45425,7512,TCP,19,1,3,138,backgorund
216120210159,19112023087,9852,30044,TCP,19,10,6,1181,backgorund
728313828,74241105161,63129,30044,TCP,19,12,9,2969,backgorund
10114179151,2757208233,445,44654,TCP,19,13,9,1653,backgorund
8417887166,193228117,135,40763,TCP,19,13,6,716,backgorund
25120522835,254649182,63400,445,TCP,19,31,5,620,backgorund
44541614,2547693226,52103,19052,TCP,19,38,2,92,backgorund
19112023087,216120210159,30044,9852,TCP,19,6,4,2752,backgorund
12155210231,15573174196,31532,161,UDP,19,60,4,428,backgorund
2815336113,254649182,56285,445,TCP,19,69,635,129470,backgorund
74241105161,728313828,30044,63129,TCP,19,7,6,2975,backgorund
18823979101,243674255,32466,25349,TCP,20,0,1,46,backgorund
243674255,18823979101,25349,32466,TCP,20,0,1,64,backgorund
1871342145,23422523976,17715,80,TCP,20,0,1,46,backgorund
198816024,254649182,31844,137,UDP,20,0,1,78,backgorund
8417887166,193228117,45425,7061,TCP,20,1,3,138,backgorund
177268795,1351689765,12080,63853,TCP,20,1,2,196,backgorund
23422523976,204112116171,80,14836,TCP,20,1,7,4122,backgorund
4724324057,1792912247,445,22822,TCP,20,16,9,2359,backgorund
204112116171,23422523976,14836,80,TCP,20,60,9,3630,backgorund
170388087,1111532225,111,45830,UDP,21,0,1,56,backgorund
19112023087,1792912247,30044,60375,TCP,21,0,4,413,backgorund
19112023087,1792912247,30044,3759,TCP,21,0,4,414,backgorund
10114179151,33811094,389,2462,UDP,21,0,1,195,backgorund
33811094,163106150146,54219,389,TCP,21,0,12,3434,backgorund
33811094,10114179151,2462,389,UDP,21,0,1,236,backgorund
163106150146,33811094,389,54219,TCP,21,0,12,7454,backgorund
1792912247,19112023087,60375,30044,TCP,21,0,5,856,backgorund
1792912247,19112023087,3759,30044,TCP,21,0,5,856,backgorund
1111532225,170388087,45830,111,UDP,21,0,1,84,backgorund
23422523976,12910423152,80,57945,TCP,21,0,4,511,backgorund
44541614,1720814475,52103,25748,TCP,21,38,2,92,backgorund
